date,valence,energy,danceability,tempo
Jan-19,0.467,0.629,0.714,0.558
Feb-19,0.451,0.609,0.714,0.512
Mar-19,0.475,0.618,0.716,0.517
Apr-19,0.486,0.603,0.71,0.602
May-19,0.501,0.63,0.707,0.613
Jun-19,0.516,0.629,0.722,0.646
Jul-19,0.539,0.633,0.715,0.552
Aug-19,0.535,0.618,0.71,0.617
Sep-19,0.51,0.632,0.703,0.659
Oct-19,0.498,0.61,0.679,0.515
Nov-19,0.508,0.612,0.695,0.587
Dec-19,0.552,0.572,0.624,0.6
Jan-20,0.495,0.586,0.712,0.554
Feb-20,0.492,0.599,0.696,0.521
Mar-20,0.5,0.6,0.695,0.578
Apr-20,0.508,0.612,0.718,0.626
May-20,0.539,0.618,0.73,0.652
Jun-20,0.552,0.622,0.727,0.692
Jul-20,0.526,0.607,0.704,0.648
Aug-20,0.526,0.631,0.711,0.698
Sep-20,0.541,0.635,0.715,0.693
Oct-20,0.534,0.623,0.7,0.697
Nov-20,0.546,0.619,0.683,0.732
Dec-20,0.569,0.595,0.673,0.749
Jan-21,0.515,0.609,0.701,0.594
Feb-21,0.518,0.617,0.705,0.52
Mar-21,0.503,0.624,0.692,0.486
Apr-21,0.515,0.62,0.697,0.56
May-21,0.493,0.612,0.674,0.519
Jun-21,0.533,0.634,0.679,0.565
Jul-21,0.572,0.669,0.703,0.631
Aug-21,0.553,0.659,0.69,0.508
Sep-21,0.533,0.65,0.684,0.676
Oct-21,0.505,0.648,0.667,0.813
Nov-21,0.496,0.626,0.646,0.87
Dec-21,0.57,0.609,0.609,0.808
Jan-22,0.513,0.641,0.665,0.698
Feb-22,0.505,0.666,0.66,0.722
Mar-22,0.55,0.661,0.678,0.694
Apr-22,0.513,0.664,0.674,0.762
May-22,0.506,0.663,0.68,0.716
Jun-22,0.506,0.672,0.695,0.717
Jul-22,0.496,0.661,0.68,0.685
Aug-22,0.517,0.665,0.684,0.689
Sep-22,0.509,0.666,0.672,0.808
Oct-22,0.436,0.619,0.66,0.719
Nov-22,0.483,0.635,0.574,0.506
Dec-22,0.503,0.578,0.632,0.784